Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"Ballycasey Close, Shannon, Co. Clare",Ä160 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 22654B",21/03/2023,899
"63 Fernleigh Drive , Carpenterstown, Dublin 15",Ä800 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,No,Female,"DescriptionTwo Double rooms available in Carpenterstown with local pub, take away, cafe, supermarket, pharmacy.  Bus stop just a short walk away. Coolmine train station is a 10 minute walk with Maynooth just a few train stops away and the city centre just 25 minutes train journey. Blanchardstown shopping  Centre is  near by. 

The house comprises of kitchen with separate living room space and a ground floor bathroom and upstairs there are 2 double bedrooms with built in wardrobes and shared bathroom on the second floor which are available, on the third floor there is a double room with en-suite which is occupied. There is garden situated at the property which enjoys sunshine in the afternoons with a patio area and a garden shed.
Shared Bills for gas electricity no included.",10/04/2023,"1,308"
"Beaufield Gardens, Maynooth, Co. Kildare",Ä130 per week,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,No,Male / Female,"DescriptionJust available, Room in center of Maynooth ! in this centrally located house. Room available for rent close to town centre/Bus-stop and train station.With 360Mb. Fibre-Optic Broadband & Cable TV. Plus All new Beds/Mattresses and appliances. Very low bills shared between housemates.(bills shared are 40euro/month in Summer. 50 Euro/month Winter).
thanks",13/04/2023,280
"87 Old Willow Park, Athlone, Athlone, Co. Westmeath",Ä400 per month,Single Room,Shared Bathroom,House,3,"May 1st, 2023",3 Months,2,No,Female,"DescriptionThis fabulous, newly refurbished property in Old Willow Park, Athlone is in immaculate condition.

This house is fully and tastefully furnished with desks included in each room.

The property is situated within 5 minutes walk of AIT and is located on bus route to Ericsson and Athlone town.

Single rooms to rent from 1st May 2023 to August 31st 2023.

Phone 0876261080 for further information.",13/04/2023,168
"62 Lanesborough Mews, Dublin 11, Dublin 11",Ä950 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,2,No,Male / Female,"DescriptionThis spaciouse double room is in a 3 bed room apartment. 
Shared with a lovely family (father and son).
We are looking for a martured, respectful and friendly (single) person 
The apartment is close to the Charlston Shopping Center and has a good Dublin Bus connection (140, 9, 83, 220, 40).

Rent: 950 EUR/month
Bills: 100 EUR/month
Deposit: 950 

Please sent an email with some details about you. I will call you back 
Thanks",12/04/2023,"1,110"
"The Diamond, Killybegs, Co. Donegal",Ä900 per month,Double Room,En-suite,House,1,Immediately,3 Months,5,Yes,Male / Female,"DescriptionLong Term Stay - 1 Double bedroom en-suite in Town Centre Killybegs, Co. Donegal. House sharing. 

Facilities:

- Cozy en-suite bedroom en-suite with desk.
- Shared kitchen, sitting room and dining room.
- Balcony/patio, with seating area overlooking the 
   harbour
- Power shower
- Flat screen TV and free WIFI
- Shared kitchen has fridge/freezer, microwave, toaster 
  kettle, coffee pod machine.
- Pots, pans, crockery, and utensils are provided
- Brand new ceramic, electric cooker/oven
- Free parking on the main street, upon availability
- Shared coined laundry room facility

Location:
- Town centre in Killybegs, Co. Donegal
- Great location opposite the boats and harbour
- Beside a variety of restaurants, cafes, bars, and shops 
- Along the Wild Atlantic Way
- Sliabh Liag cliffs, highest accessible sea-cliffs in Europe, 
  just 30-minute drive
- Blue flag beach nearby, 5-minute drive
- 5-minute walk to Killybegs Tourism college campus LYIT
- 1 minute walk to pier and boats",11/04/2023,160
"Saint Joseph's Road, Blessington, Co. Wicklow",Ä160 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 26341",21/03/2023,375
"7 Ashgrove Crescent, Naas, Naas, Co. Kildare",Ä340 per month,Single Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year +,4,No,Male / Female,"DescriptionSingle bedroom available in Naas, Co. Kildare for 340 per month plus bills which are split equally between five people in the house. 

* House *
This is a five bedroom house with spacious living area. The house is currently occupied by 4 professionals in their 20's, some of who will be working from home.

The house contains: 
- 5 bedrooms 
- 2 bathrooms (1 bath, 2 shower)
- Large open plan kitchen, dining and sitting room 
- Wash room 
- Sun room 
- Large garden 
- Plenty of parking 

The kitchen and wash room are fully equipped with all necessities such as new dishwasher, oven, washing machine, microwave, all cooking utensils and plenty of storage. 

*Location*
The house is conveniently located in an estate just outside Naas town and is a 10 minute walk into the town centre. It is close to all local amenities. 

*Room* 
The room is a single room which contains a single bed and mattress. It also comes with a chest drawers, locker, lamp and built in storage stand. The large window allows for plenty of light. 

Please send a few points about yourself if you are interested in the room as interest is high. Thanks",08/04/2023,844
"Thornbury , Raheen, Co. Limerick",Ä450 per month,Double Room,Shared Bathroom,House,2,"May 1st, 2023",4 Months,2,No,Male / Female,"Description2 bedrooms available in Raheen, Limerick from Monday to Friday.

Close proximity Mary Immaculate College.

Please email me your details.

Please do not call",04/04/2023,"1,327"
"43 Glenmaroon Road, Dublin 20, Dublin 20",Ä600 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,3,No,Male / Female,Description4 bedroom semi-detached house in a quiet neighbourhood close to shopping areas and excellent access to public transport. Single room is available with immediate effect - bills not included.,11/04/2023,702
