Address,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Date_entered/renewed,Property_views,Latitude,Longitude,Pre_processed_desc,Desc_length,Price_per_month,County,adjective_counts
"Ballycasey Close, Shannon, Co. Clare",Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,899,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 22654b,551,640,Clare,8
"63 Fernleigh Drive , Carpenterstown, Dublin 15",Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,No,Female,10/04/2023,"1,308",,,two double room available carpenterstown local pub take away cafe supermarket pharmacy bus stop short walk away coolmine train station 10 minute walk maynooth train stop away city centre 25 minute train journey blanchardstown shopping centre near house comprise kitchen separate living room space ground floor bathroom upstairs 2 double bedroom build wardrobe shared bathroom second floor available third floor double room en suite occupy garden situate property enjoy sunshine afternoon patio area garden shed share bill gas electricity no include,784,800,Dublin 15,10
"Beaufield Gardens, Maynooth, Co. Kildare",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,No,Male / Female,13/04/2023,280,53.3734413,-6.5984545,just available room center maynooth centrally locate house room available rent close town centre bus stop train station 360 mb fibre optic broadband cable tv plus new bed mattress appliance low bill share housemates bill share 40euro month summer 50 euro month winter thank,364,520,Kildare,5
"87 Old Willow Park, Athlone, Athlone, Co. Westmeath",Single Room,Shared Bathroom,House,3,"May 1st, 2023",3 Months,2,No,Female,13/04/2023,168,,,this fabulous newly refurbished property old willow park athlone immaculate condition house fully tastefully furnish desk include room property situate within 5 minute walk ait locate bus route ericsson athlone town single room rent 1st may 2023 august 31st 2023 phone 0876261080 information,405,400,Westmeath,5
"62 Lanesborough Mews, Dublin 11, Dublin 11",Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,2,No,Male / Female,12/04/2023,"1,110",53.4026057,-6.2949614,this spaciouse double room 3 bed room apartment share lovely family father son look marture respectful friendly single person apartment close charlston shopping center good dublin bus connection 140 9 83 220 40 rent 950 eur month bill 100 eur month deposit 950 please send email detail I call back thank,438,950,Dublin 11,9
"The Diamond, Killybegs, Co. Donegal",Double Room,En-suite,House,1,Immediately,3 Months,5,Yes,Male / Female,11/04/2023,160,,,long term stay 1 double bedroom en suite town centre killybeg co donegal house sharing facility cozy en suite bedroom en suite desk share kitchen sitting room dining room balcony patio seating area overlook harbour power shower flat screen tv free wifi share kitchen fridge freezer microwave toaster kettle coffee pod machine pot pan crockery utensil provide brand new ceramic electric cooker oven free parking main street upon availability share coin laundry room facility location town centre killybeg co donegal great location opposite boat harbour beside variety restaurant cafe bar shop along wild atlantic way sliabh liag cliff high accessible sea cliff europe 30 minute drive blue flag beach nearby 5 minute drive 5 minute walk killybeg tourism college campus lyit 1 minute walk pier boat,1026,900,Donegal,13
"Saint Joseph's Road, Blessington, Co. Wicklow",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Female,21/03/2023,375,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 26341,550,640,Wicklow,8
"7 Ashgrove Crescent, Naas, Naas, Co. Kildare",Single Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year +,4,No,Male / Female,08/04/2023,844,53.2243959,-6.6571706,single bedroom available naas co kildare 340 per month plus bill split equally five people house house five bedroom house spacious living area house currently occupy 4 professional 20 work home house contain 5 bedroom 2 bathroom 1 bath 2 shower large open plan kitchen dining sitting room wash room sun room large garden plenty parking kitchen wash room fully equip necessity new dishwasher oven washing machine microwave cooking utensil plenty storage location house conveniently locate estate outside naas town 10 minute walk town centre close local amenity room room single room contain single bed mattress also come chest drawer locker lamp build storage stand large window allow plenty light please send point interested room interest high thank,1137,340,Kildare,13
"Thornbury , Raheen, Co. Limerick",Double Room,Shared Bathroom,House,2,"May 1st, 2023",4 Months,2,No,Male / Female,04/04/2023,"1,327",52.6292872,-8.6495952,2 bedroom available raheen limerick monday friday close proximity mary immaculate college please email I detail please not call,167,450,Limerick,3
"43 Glenmaroon Road, Dublin 20, Dublin 20",Single Room,Shared Bathroom,House,1,Immediately,1 Year +,3,No,Male / Female,11/04/2023,702,53.3504164,-6.3680035,4 bedroom semi detached house quiet neighbourhood close shopping area excellent access public transport single room available immediate effect bill not include,200,600,Dublin 20,6
"123 Rockfield Court, Dundalk, Co. Louth",Single Room,Shared Bathroom,House,1,Immediately,1 Year +,1,No,Male / Female,09/04/2023,"1,497",53.9885036,-6.3945744,this rental property beautiful detached house feature modern home design situate heart dundalk house boast lovely garden property total 4 bedroom include 2 single room 2 double room 3 path room bedroom bright spacious large window let plenty natural light fully furnish comfortable bed wardrobe house recently renovate feature modern amenity well fully equip kitchen appliance need cook favorite meal also dining area enjoy meal housemate well cozy living room relax long day property locate short walk away popular retail park find variety shop restaurant cafe also within walk distance dundalk make ideal location student house also conveniently locate near public transportation make easy get around dundalk beyond overall property perfect combination modern design convenient location comfortable living lively garden spacious bedroom modern amenity sure make feel right home,1317,440,Louth,32
"Clonbeg, Church Hill Meadows, Raheen, Co. Limerick",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,No,Male / Female,10/04/2023,"2,817",,,text message brief detail I contact spacious 5 bedroom house plus large rear extension quiet residential area locate beside raheen business park roughly 5 minute regeneron university hospital limerick 5minute cresent shopping centre m20 motorway 1 large double bedroom available room full double bed wardrobe chest drawer storage large living area recliner sofa appliance fully furnish large rear shed storage along washing machine dryer high speed fibre internet efficient gas heating conveniently locate bus stop directly across road ideal people employ locality look share living modern house excellent facility house share 4 work professional mid 20 work shift regeneron rent 580 month esb gas broadband bin share equally,981,580,Limerick,16
"Apartment 20, Turnstone, Thornwood, Booterstown Av, Booterstown, Co. Dublin",Double Room,En-suite,Apartment,1,"Apr 22nd, 2023",6 Months,1,Yes,Male,13/04/2023,285,,,s ngle ocupancy mid age irish male work tech sector shortly return full time education look share second double room large 2 bed 2 bath corner apartment occupy prime corner position first floor apartment offer 1020 sq ft well proportion dual aspect accommodation ideally locate corner booterstown avenue n11 every conceivable amenity within close proximity selection exclusive shop restaurant bar within short stroll merrion stillorgan dundrum within minute drive ucd michael smurfit graduate business school nearby excellent leisure activity facility belfield easily accessible blackrock park mount merrion park host public transport route nearby include qbc dart n11 offer quick access m50 major road network,954,,,16
"Taoibh Na Coille, Ballycullen Rd, Knocklyon, Dubli, Knocklyon, Dublin 16",Twin Room,Shared Bathroom,House,1,Immediately,6 Months,1,No,Male / Female / +1 Person,13/04/2023,243,,,twin bedroom vacancy available knocklyon knocklyon dublin 16 rent price 500 euro per month twin bedroom available deposit amount rent bill turn around 5060 euro per month place functionality appliance work perfect order maintenance item replacement offer landlord main priority clean respect tenant noise level information please send I private message,505,500,Dublin 16,7
"Toberpatrick, Tinahely, Co. Wicklow",Double Room,Shared Bathroom,House,2,Immediately,3 Months,1,Yes,Female,13/04/2023,156,,,dublin host family proud offer 2 bedroom stunning showhouse condition detach property ideally situate countryside location convenient tinahely aughrim arklow gorey town centre locate rural position would require car no public transport close household bill include oil electric cable refuse wifi water &#9; also continental style breakfast include price host ask small security deposit breakage refund leave house rate room 145 per week double 165 per week en suite room pay every 4 week advance,716,580,Wicklow,9
"Alberta, 99 Greenpark Road, Bray, Bray, Co. Wicklow",Single Room,Shared Bathroom,House,1,"Apr 28th, 2023",6 Months,2,No,Female,13/04/2023,969,,,3 bedrooms house small garden 2 firepalace 10 min walk main street text email please I reply asap thank pavel,151,600,Wicklow,1
"34 Straffan Place, Straffan Wood, Maynooth, Naas, Maynooth, Co. Kildare",Double Room,Shared Bathroom,House,1,"Apr 28th, 2023",2 Months,2,No,Female,11/04/2023,"1,234",,,temporary accommodation immediate move double bedroom available 3 bedroom house one room available rent share house 2 female 1 professional worker 1 phd student maynooth university come fully furnish offer perfect convenience popular well establish area bill include rent supermarket near lidl 5 min walk transport link c3 connect maynooth city centre leixlip lucan dublin 5 min walk greenfield shopping centre 10 min walk maynooth train station city centre 20 min walk maynooth university 30 min walk close proximity m4 straffan wood great choice people look accommodation quite convenient establishment note accept female double room,855,700,Kildare,14
"Forest Park, Leixlip, Co. Kildare",Twin Room,Shared Bathroom,House,1,"Jun 1st, 2023",6 Months,2,Yes,Female,10/04/2023,166,53.36222175,-6.505149500386161,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 5798,548,640,Kildare,8
"Upper Fairhill, Fairhill, Co. Cork",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,"1,078",,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 42386,550,740,Cork,8
"Riverside Park, Clonmany, Co. Donegal",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Female,21/03/2023,101,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 31363a,551,400,Donegal,8
"Bayview Lawns, Killiney, Co. Dublin",Double Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year,2,Yes,Female,10/04/2023,517,53.2447331,-6.1176694,a fully furnish comfortable double bedroom available tenant bathroom share one family resident access well equip kitchen living room parking spot situate peaceful suburb killiney within 20 minute walking distance killiney shankill dart station well bus route 145 155 bring city centre bray deposit 825 bill include retail price electricity gas bin wifi etc reference essential,550,825,,7
"Kingswood Cross, Citywest, Co. Dublin",Double Room,Shared Bathroom,House,1,Immediately,6 Months,3,No,Male / Female,13/04/2023,70,,,that large main bedroom house excellent location 5 minute walk cheeverstown luas stop near sap citywest business campus amazon infosy view arrange email share bath room double bed wardrobe bill extra around 60 80 euro per month no smoking pet energy efficient house a2 rating,385,,,6
"Aran Old Battery Road Westlodge , Athlone, Co. Westmeath",Double Room,Shared Bathroom,House,1,"May 30th, 2023",6 Months,1,Yes,Male / Female,11/04/2023,"2,563",,,room go next availability june 19 modern newly renovate well proportion house west side athlone town centre location mod con owner occupy please note sunday night monday friday no weekend consider short term rental bathroom share one person bill include price towel sheet etc supply,407,500,Westmeath,4
"Knockaphunta Park, Castlebar, Co. Mayo",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,21/03/2023,436,53.8405623,-9.3220764,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 45883,550,560,Mayo,8
"16 greendale rd, maryborough woods maryborough  hi, Douglas, Co. Cork",Double Room,Shared Bathroom,House,1,Immediately,6 Months,4,Yes,Female,12/04/2023,671,,,large double room available large tv netflixs quiet modern funky house mod con,112,750,Cork,6
"mayorstone drive, Ennis Road, Co. Limerick",Double Room,Shared Bathroom,House,1,Immediately,3 Months,3,Yes,Male / Female,11/04/2023,"1,670",,,available short term 10 week spacious house finish high standard mod con high speed unlimitite fibre optic broadband sky tv dishwasher washing machine dryer recliner leather suite 50 flatscreen tv electric shower etc solid wall bedroom oppose partition wall give add privacy noise house excellent location 10 min walk city centre local shop amenity vacinity limerick lawn tennis club st camillise hospital maternity hospital jetland shopping centre lidl woodie diy etc within min walk house shelbourne park directly across house well maintain run track 3 pitch bus stop outside house quiet peaceful house I look neat tenant like peaceful clean house not drink smoke,865,800,Limerick,16
"Middle house, Main Street , Ringaskiddy, Co. Cork",Double Room,En-suite,House,1,Immediately,1 Year,8,No,Male / Female / +1 Person,10/04/2023,437,,,a large double bed en suite room available ringaskiddy property locate within walk distance multinational company locally also locate near marin college price 650 include bill,242,650,Cork,4
"Newbridge Town, Newbridge, Co. Kildare",Double Room,En-suite,House,1,Immediately,1 Year,1,No,Female,13/04/2023,104,53.18490075,-6.8108287673152885,monday friday please not contact I require stay weekend double room sole use main bathroom clean quiet house locate nice estate share one professional female five minute walk town centre bus stop train station broadband bill include no access sitting room tv room not share no house guest short stay accept suit someone go home weekend,482,600,Kildare,6
"Grandville, Follistown, Navan, Navan, Co. Meath",Double Room,En-suite,House,3,Immediately,1 Year +,4,No,Male / Female / +1 Person,11/04/2023,897,,,detache bungalow locate large mature site property spacious living room open fireplace kitchen large garden rear side property locate countryside 5 minute drive navan town centre property not access public transport transport highly advisable,349,415,Meath,5
